Inventory ID (OPTIONAL),Artist Name ,Title ,Year ,Price ,Medium ,Materials ,Height ,Width ,Depth,Certificate of Authenticity ,Signature ,Classification 
KG-1442,Unknown Artist,Decorative Cranes,1901,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1443,Unknown Artist,Calligraphy Page,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1444,Unknown Artist,Two Persian Paintings,1901,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1445,Unknown Artist,Rustam Demanding Surrender,1501,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1446,Unknown Artist,The Last Wishes of Danali,1501,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1447,Unknown Artist,Death of a First Child,1801,,guache on paper,guache on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1448,Unknown Artist,A Prince Being Entertained by Musicians,1801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1449,Unknown Artist,Persian Calligraphy with Later Illustration of a Man,801,,Gouache and gold on paper,Gouache and gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1451,Unknown Artist,Unidentified Mewari Painting,1601,,Opaque watercolor heightened with gold on paper,Opaque watercolor heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1455,Unknown Artist,Portrait of a Lady,1900,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1456,Unknown Artist,Indra's Approach on Airavata,1850,,Gouache heightened with gold on paper,Gouache heightened with gold on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1458,Unknown Artist,A Nayika Holding Flowers,1801,,Opaque watercolor on paper,Opaque watercolor on paper,,,,,,"Drawing, Collage or other Work on Paper"
KG-1459,Unknown Artist,Odia Manuscript Page,1701,,Ink on paper,Ink on paper,,,,,,"Drawing, Collage or other Work on Paper"
