kg_id,match_score,external_title,decision
KG-1019,100,Jade-hilted and gilt khanjar,"merged: physical_location,publications_and_exhibitions,image.alternates"
KG-1020,100,Jade-hilted and jeweled khanjar,"merged: physical_location,publications_and_exhibitions,image.alternates"
KG-1015,100,"A folio from the ""PALAM"" Bhagavata Purana: Krishna with the Sage Narada","merged: physical_location,image.alternates"
KG-1397,100,Ilustration from the Bhagavata Purana: Sisupalas and his Retinue,skipped: KG-# already enriched from earlier source
KG-1021,100,Bhim Singh with attendants,skipped: KG-# already enriched from earlier source
KG-1022,100,Krishna Playing the Flute with Gopis,skipped: KG-# already enriched from earlier source
KG-1023,100,Illustration to a Ragamala series: Kakubha Ragini,skipped: KG-# already enriched from earlier source
KG-1229,100,Maharaja Prithi Singh of Ratanpur in Procession,"merged: provenance,physical_location,image.alternates"
KG-1024,100,Bon Thangka,"merged: physical_location,image.alternates"
KG-1025,100,Maharana Sarup Singh of Udaipur,"merged: physical_location,image.alternates"
KG-1026,100,Maharana Ari Singh Riding in a Procession to Jagan Nath,skipped: KG-# already enriched from earlier source
KG-2039,100,Maharana Sangram Singh II in an Equestrian Procession,"merged: physical_location,image.alternates"
KG-1027,100,Portrait of a Maratha Nobleman,"merged: physical_location,image.alternates"
KG-1028,100,Maharaja Umed Singh on a Palanquin,"merged: physical_location,image.alternates"
KG-1029,100,Indian Noblemen Receiving British Royalty,"merged: physical_location,image.alternates"
,0,A Mughal Miniature Painting of a Court Official,no match >= threshold
KG-1030,100,Hunters Shooting Boar (Maharao Ram Singh II of Kotah & Maharao Ram Singh of Bund,skipped: KG-# already enriched from earlier source
KG-1006,100,A buff sandstone torso of Vishnu,skipped: KG-# already enriched from earlier source
KG-1031,100,Painted saddle,skipped: KG-# already enriched from earlier source
KG-1032,100,Panchamukhalinga,skipped: KG-# already enriched from earlier source
KG-1033,100,Vajradhara (Large),skipped: KG-# already enriched from earlier source
KG-1034,100,Vajravarahi,skipped: KG-# already enriched from earlier source
,0,Thomas Daniell - The Great Pagoda,no match >= threshold
KG-1035,100,Thomas Daniell and Robert Havell - 3 engravings,merged: image.alternates
KG-1036,100,Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana:  The Liberation of N,skipped: KG-# already enriched from earlier source
KG-1037,100,"Illustration to the ‘Large’ Guler-Basohli Bhagavata Purana: Satadhanva, Akrura, ",skipped: KG-# already enriched from earlier source
KG-1038,100,Sambara and Rati,skipped: KG-# already enriched from earlier source
KG-1039,100,"View of Verdabendroug, fortified heights in the Bara-Mahl",merged: image.alternates
