j,Image,Title,Origin,Date,Medium ,Dimensions,Physical Location,File Location,Acquired From,Literature & Exhibited,Provenance,Essay Writtenn( Yes/No),
2019,,Vajrasattva,Tibet,13th century,,3 1/2 in. (9 cm.) ,gallery,14 - Vajrasattva,,,"Cees van der Plog, 1995, by repute. Bonham’s Hong Kong, 2 Oct 2018, lot 132.",,
2021,,Arhat Kanakavatsa,Tibet,18th century,Ground mineral pigments on cloth,36 ¼ x 24 in. (92 x 61 cm.),gallery, Arhat Kanakavatsa ,,Himalayan Art Resources item no. 36292,"Koller Zurich, June 1978, lot 46.",,
2019,,Vajrapani,Tibet,17th century,Gilt Bronze with Polychrome,6 1/2 in. (16.5 cm.),RK apartment,8 - Vajrapani,,"Himalayan Art Resources (himalayanart.org), item no. 8040.",From a private North American Collection.,,
2019,,"Vajrapani, Hayagriva, Garuda combined",Tibet,19th century,Ground mineral pigments on cloth,29 1/4 x 20 in. (75 x 51 cm.),basement,30 - Hayagriva,?,HAR item no. 8047 ,"From a Private Italian Collection
",,
2019,,Amitayus, Tibet,16th century,Gilt Bronze,8 7/8 in. (22.6 cm.) high,RK apartment,9 - Amitayus,,"Himalayan Art Resources (himalayanart.org), item no. 8021.",Private Polish collection.,,
2019,,Maitreya,Tibet,14th-15th century,,8 1/2 in. (21.6 cm.),,,,HAR item no. 36297,Private European Collection,,
2021,,"Folio from an Usha-Aniruddha romance series: Chitralekha visits Aniruddha in Dwarka
",Garwhal,circa 1840,Opaque watercolor heightened with gold on paper,9 x 12 in. (22.9 x 30.5 cm.),Gallery 4/28,Folio from an Usha-Aniruddha Romance series,,,From a Private European Collection.,,
2022,,A princess enjoying paan on a terrace,Guler,circa 1790 - 1800,Opaque watercolor heightened with gold on paper,"Image: 7 ⅜ x 7 in. (18.7 x 17.8 cm.)
Folio: 9 ⅛ x 8 ⅜ in. (23.2 x 21.3 cm.)",Drawer 14,A Princess Enjoying a Pan on a Terrace,,,"Spink & Son Ltd, London, 1985",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
From 2022 Catalog,,,,,,,,,,,,,
2022,,Koftgari talwar,Rajasthan,17th-18th century,,"Sword: 37 ⅝ in. (95.5 cm.) long
In scabbard: 37 ¾ in. (95.9 cm.) long",gallery,https://drive.google.com/drive/folders/16r5BTUTE__9ThVO3TTCFnzbd8K8bKi2g?usp=sharing,"Sotheby's London, 31 March 2021, lot 95.","Leo S. Figiel, M.D., On Damascus Steel, New York, 1991, pp.100-1, no. IS5.","Ex-collection Dr. Leo S. Figiel, M.D. (1918-2013).

The renowned collection of Mughal arms of Dr. Figiel M.D. was sold through Butterfield & Butterfield, San Francisco, on 24 August 1998.",,
2022,,Painted saddle,Tibet,15th-17th Century,,24 x 14 in. (61 x 35.6 cm.),gallery,https://drive.google.com/drive/folders/1QS6D73bx62adQzab4be6dNeDJODI57hy?usp=sharing,Runjeet Singh,Himalayan Art Resources item no. 7504,,,
,,,,,,,,,,,,,
2022,,vajravarahi,Nepal,circa 1800,Painted wood,21 x 11 ¾ x 4 in. (53.3 x 29.8 x 10.2 cm.),,https://drive.google.com/drive/folders/1wLrkHjJJx0doGRUCIVfiIHl6yNUvpkYK?usp=sharing,"Heritage Auctions, 22 September 2021, lot. 78288.","“Tantra,” Hayward Gallery, London, Art Council of Great Britain, 30 September–7 November 1971.
P. Rawson, Tantra: Hayward Gallery, London, 1971, p. 31, no. 115.
HAR no. 7547","Philip Goldman, London.
Hayward Gallery, London.",,
